artist,title,year,date,TV
Wale,Chillin,2009,2009-01-01,36.56067899670636
Wale,Pretty Girls,2009,2009-01-01,41.75768283542136
Wale,90210,2009,2009-01-01,46.06177872987354
B.o.B,I'll Be In The Sky,2009,2009-03-10,46.3978950942115
B.o.B,F*ck You,2009,2009-03-10,66.16833548131257
B.o.B,Generation Lost,2009,2009-03-10,73.0517969490649
Asher Roth,Lark On My Go-Kart,2009,2009-01-01,55.35024154589373
Asher Roth,Be By Myself,2009,2009-01-01,44.22005495985776
Asher Roth,She Don’t Wanna Man,2009,2009-01-01,41.89699460570255
Cory Gunz,Like You Don't Know,2009,2009-06-09,64.71205906480722
Blu,PressPause,2009,2009-10-13,54.65691294806144
Blu,WonLover,2009,2009-10-13,59.26811824539098
Blu,QuarterWaterSupporter (feat. Brea Joseph),2009,2009-10-13,56.422562405185495
Ace Hood,Overtime,2009,2009-01-01,40.096372196067584
Ace Hood,Get Money,2009,2009-01-01,50.85866304409351
Ace Hood,Champion,2009,2009-01-01,48.22742474916388
Curren$y,The Pledge (In and Out),2009,2009-01-01,55.65584045584044
Curren$y,The Seventies,2009,2009-01-01,50.937048032275264
Curren$y,On My Way,2009,2009-01-01,51.36923779096304
Kid Cudi,Day 'N' Nite (nightmare),2009,2009-01-01,39.95573044761437
Kid Cudi,Pursuit Of Happiness (Nightmare),2009,2009-01-01,44.391828280926376
Kid Cudi,Soundtrack 2 My Life,2009,2009-01-01,40.83357369483704
Nipsey Hussle,Feelin' Myself (feat. Lloyd) (feat. Lloyd) - new explicit version,2010,2010-07-26,55.25680142384948
Nipsey Hussle,They Roll (feat. The Game),2010,2010-07-06,43.53203306639113
Freddie Gibbs,National Anthem (F*ck the World),2010,2010-08-03,50.896759608138645
Freddie Gibbs,Personal OG,2010,2010-08-03,57.61147186147185
Freddie Gibbs,The Coldest,2010,2010-08-03,64.22637855468352
Big Sean,What U Doin? - Edited Version,2010,2010-01-01,51.63430270370714
Wiz Khalifa,Mezmorized,2010,2010-04-14,48.46030558820388
Wiz Khalifa,Visions,2010,2010-04-14,53.48114089775561
